 ,Area,Mean,Min,Max
951,9,255,255,255
952,1,255,255,255
953,1,255,255,255
954,1,255,255,255
955,10,255,255,255
956,3,255,255,255
957,6,255,255,255
958,5,255,255,255
959,31,255,255,255
960,1,255,255,255
961,6,255,255,255
962,1,255,255,255
963,1,255,255,255
964,1,255,255,255
965,3,255,255,255
966,16,255,255,255
967,30,255,255,255
968,1,255,255,255
969,2,255,255,255
970,1,255,255,255
971,5,255,255,255
972,2,255,255,255
973,23,255,255,255
974,2,255,255,255
975,5,255,255,255
976,1,255,255,255
977,6,255,255,255
978,23,255,255,255
979,1,255,255,255
980,8,255,255,255
981,14,255,255,255
982,9,255,255,255
983,1,255,255,255
984,1,255,255,255
985,4,255,255,255
986,123,255,255,255
987,1,255,255,255
988,2,255,255,255
989,7,255,255,255
990,35,255,255,255
991,1,255,255,255
992,5,255,255,255
993,1,255,255,255
994,14,255,255,255
995,2,255,255,255
996,6,255,255,255
997,3,255,255,255
998,3,255,255,255
999,1,255,255,255
1000,1,255,255,255
1001,2,255,255,255
1002,1,255,255,255
1003,3,255,255,255
1004,35,255,255,255
1005,4,255,255,255
1006,1,255,255,255
1007,4,255,255,255
1008,2,255,255,255
1009,14,255,255,255
1010,13,255,255,255
1011,1,255,255,255
1012,1,255,255,255
1013,1,255,255,255
1014,1,255,255,255
1015,2,255,255,255
1016,1,255,255,255
1017,388,255,255,255
1018,1,255,255,255
1019,26,255,255,255
1020,1,255,255,255
1021,2,255,255,255
1022,1,255,255,255
1023,12,255,255,255
1024,1,255,255,255
1025,3,255,255,255
1026,1,255,255,255
1027,8,255,255,255
1028,3,255,255,255
1029,1,255,255,255
1030,2,255,255,255
1031,2,255,255,255
1032,7,255,255,255
1033,4,255,255,255
1034,4,255,255,255
1035,1,255,255,255
1036,4,255,255,255
1037,1,255,255,255
1038,2,255,255,255
1039,1,255,255,255
1040,1,255,255,255
1041,1,255,255,255
1042,12,255,255,255
1043,5,255,255,255
1044,36,255,255,255
